hum_blatant,attention,attention_num,ft_in,ft_out,ft_diff,hum_blatant_in,hum_blatant_out,hum_subtle_in,hum_subtle_out,hum_subtle,authscale,party_strength,close,close_recode,Age,pid7,Gender,race,party_binary,scandal,scandal_out,pid,Republican
60,Most of the time,4,80,0,80,100,40,6,4.5,1.5,0,2,3,2,44,2,Female,White,Democrat,NA,NA,Democrat,0
52,Some of the time,3,78,12,66,65,13,4.25,2.75,1.5,0.75,3,3,2,58,7,Female,White,Republican,3.2,1,Republican,1
-3,Most of the time,4,NA,NA,NA,90,93,7,7,0,0.75,3,3,2,34,1,Male,White,Democrat,3,-1,Democrat,0
15,Most of the time,4,90,19,71,100,85,6,4.25,1.75,0.5,3,3,2,23,1,Male,Asian,Democrat,3.6,1,Democrat,0
0,Most of the time,4,100,45,55,100,100,NA,NA,NA,1,3,4,3,22,1,Male,White,Democrat,3.4,-1,Democrat,0
64,Most of the time,4,52,1,51,70,6,4.75,3.25,1.5,0.75,3,4,3,64,7,Male,White,Republican,NA,NA,Republican,1
-2,Most of the time,4,57,30,27,47,49,4.75,4.75,0,0.5,1,3,2,40,5,Female,White,Republican,2.6,1,Independent,1
0,Hardly at all,1,84,17,67,100,100,2.5,3.5,-1,0,3,2,1,25,1,Female,White,Democrat,NA,NA,Democrat,0
-2,Some of the time,3,73,52,21,53,55,4,4,0,1,2,3,2,44,6,Female,White,Republican,4,-1,Republican,1
87,Most of the time,4,99,55,44,100,13,4.5,4.5,0,0.5,3,3,2,21,1,Female,White,Democrat,NA,NA,Democrat,0
42,Some of the time,3,40,0,40,81,39,4.25,1,3.25,0.75,2,3,2,33,2,Female,Other,Democrat,2.8,1,Democrat,0
51,Some of the time,3,74,0,74,53,2,2.75,1.75,1,0,3,3,2,52,1,Female,White,Democrat,4,1,Democrat,0
-20,Most of the time,4,84,50,34,75,95,3,4.25,-1.25,0.75,2,4,3,38,6,Female,White,Republican,4.4,-1,Republican,1
0,Most of the time,4,60,5,55,100,100,3.5,3,0.5,0,3,4,3,24,1,Male,White,Democrat,NA,NA,Democrat,0
2,Most of the time,4,61,0,61,81,79,4,3.25,0.75,0.5,1,3,2,64,3,Male,White,Democrat,3.4,1,Independent,0
49,Some of the time,3,74,46,28,77,28,5.5,5.25,0.25,0.25,2,3,2,33,6,Male,White,Republican,3.8,1,Republican,1
46,Some of the time,3,63,11,52,81,35,5,3.75,1.25,0.75,3,3,2,47,1,Female,White,Democrat,3.2,1,Democrat,0
0,Hardly at all,1,59,36,23,100,100,5,3.25,1.75,1,2,2,1,59,2,Female,Black,Democrat,4,1,Democrat,0
15,Most of the time,4,90,7,83,100,85,4.75,4.25,0.5,0,3,4,3,47,1,Female,White,Democrat,3,1,Democrat,0
-10,Most of the time,4,64,75,-11,73,83,6,5.75,0.25,0.75,3,3,2,40,7,Female,Black,Republican,4.4,1,Republican,1
-16,Some of the time,3,41,50,-9,41,57,5.25,4.25,1,0.5,2,3,2,38,6,Female,White,Republican,4,1,Republican,1
32,Only now and then,2,15,NA,NA,82,50,4.75,5,-0.25,0.75,2,2,1,21,2,Female,Black,Democrat,NA,NA,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,45,4,Female,White,NA,4,NA,Independent,0
2,Most of the time,4,62,52,10,85,83,4.25,3.5,0.75,0.25,1,3,2,30,3,Male,Black,Democrat,4.6,1,Independent,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,4,Female,White,NA,4,NA,Independent,0
84,Most of the time,4,99,4,95,92,8,5.5,2.5,3,1,3,4,3,58,7,Male,White,Republican,2.8,1,Republican,1
21,Some of the time,3,82,1,81,93,72,2.75,4.75,-2,0.75,3,3,2,54,7,Female,White,Republican,4.2,-1,Republican,1
4,Only now and then,2,0,0,0,11,7,3.5,1.75,1.75,0.5,1,2,1,50,5,Female,Other,Republican,5.2,1,Other,1
-10,Only now and then,2,99,29,70,16,26,4.25,3.75,0.5,0.5,3,4,3,60,1,Male,White,Democrat,4,1,Democrat,0
6,Some of the time,3,80,3,77,98,92,3.25,4.5,-1.25,0,3,3,2,64,1,Female,White,Democrat,NA,NA,Democrat,0
99,Only now and then,2,88,0,88,100,1,5.5,2.5,3,0.75,3,3,2,41,7,Male,White,Republican,NA,NA,Republican,1
0,Most of the time,4,75,25,50,100,100,4.5,3,1.5,0.75,2,4,3,37,2,Female,Black,Democrat,2.4,1,Democrat,0
0,Some of the time,3,100,21,79,100,100,4.5,2.25,2.25,0.5,3,4,3,26,1,Female,Black,Democrat,2.8,1,Democrat,0
42,Most of the time,4,64,38,26,84,42,6.25,5,1.25,1,3,3,2,44,1,Female,White,Democrat,3.2,1,Democrat,0
34,Some of the time,3,76,14,62,96,62,5.5,3,2.5,0.5,3,3,2,29,7,Male,White,Republican,3.8,1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,41,4,Female,Asian,NA,4,NA,Independent,0
65,Some of the time,3,88,29,59,95,30,6.75,2.75,4,1,3,3,2,59,1,Female,Other,Democrat,4,-1,Democrat,0
100,Most of the time,4,90,1,89,100,0,7,2.5,4.5,0.75,3,4,3,26,1,Female,White,Democrat,2.4,-1,Democrat,0
