hum_blatant,attention,attention_num,ft_in,ft_out,ft_diff,hum_blatant_in,hum_blatant_out,hum_subtle_in,hum_subtle_out,hum_subtle,authscale,party_strength,close,close_recode,Age,pid7,Gender,race,party_binary,scandal,scandal_out,pid,Republican
0,Some of the time,3,81,13,68,100,100,4.5,4,0.5,NA,3,3,2,45,1,Female,Black,Democrat,3.6,1,Democrat,0
98,Most of the time,4,100,8,92,98,0,5.75,1,4.75,1,3,2,1,63,1,Male,Other,Democrat,NA,NA,Democrat,0
0,Most of the time,4,100,100,0,100,100,7,7,0,1,3,2,1,46,7,Female,Black,Republican,3.4,1,Republican,1
10,Hardly at all,1,68,8,60,33,23,3.75,4.25,-0.5,0.25,3,3,2,38,1,Female,Black,Democrat,3.8,-1,Democrat,0
0,Some of the time,3,87,31,56,100,100,5.5,5.5,0,0.25,2,3,2,29,2,Female,Black,Democrat,3.4,1,Democrat,0
0,Only now and then,2,98,2,96,100,100,5.75,1,4.75,1,3,4,3,49,1,Male,Black,Democrat,4,-1,Democrat,0
100,Most of the time,4,100,0,100,100,0,4,4,0,0.5,3,4,3,27,7,Male,White,Republican,NA,NA,Republican,1
10,Some of the time,3,31,20,11,60,50,4.25,4,0.25,0.75,2,2,1,48,6,Male,White,Republican,3.2,1,Republican,1
-1,Hardly at all,1,50,45,5,49,50,4.5,4.5,0,0.75,1,2,1,34,5,Female,White,Republican,3.8,-1,Independent,1
99,Most of the time,4,100,NA,NA,100,1,2.75,4,-1.25,0.75,2,3,2,41,2,Female,Black,Democrat,NA,NA,Democrat,0
29,Most of the time,4,69,0,69,100,71,2.75,4,-1.25,0.5,1,3,2,34,5,Male,Black,Republican,3.8,-1,Independent,1
37,Most of the time,4,33,13,20,69,32,2.75,3,-0.25,1,2,3,2,60,6,Male,White,Republican,2.6,1,Republican,1
1,Some of the time,3,60,71,-11,88,87,4.5,4.25,0.25,1,2,2,1,49,2,Female,White,Democrat,3.4,1,Democrat,0
-2,Some of the time,3,50,50,0,65,67,4.25,4,0.25,0.75,1,3,2,29,3,Female,Black,Democrat,4.6,1,Independent,0
0,Most of the time,4,52,52,0,100,100,7,7,0,0.5,2,2,1,61,6,Female,White,Republican,3.4,-1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,59,4,Female,White,NA,4.2,NA,Independent,0
16,Some of the time,3,32,60,-28,71,55,2.75,3.25,-0.5,0.25,3,3,2,30,1,Male,Asian,Democrat,3.8,-1,Democrat,0
18,Only now and then,2,64,9,55,70,52,3.75,3.25,0.5,1,3,3,2,34,1,Female,White,Democrat,4,-1,Democrat,0
44,Most of the time,4,80,94,-14,95,51,4.75,NA,NA,NA,3,4,3,25,1,Male,White,Democrat,3.4,-1,Democrat,0
70,Most of the time,4,80,0,80,80,10,5.5,3.25,2.25,1,3,3,2,59,7,Male,White,Republican,4,-1,Republican,1
7,Hardly at all,1,68,57,11,71,64,2,1.75,0.25,0.75,2,2,1,26,2,Female,White,Democrat,4,-1,Democrat,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,23,4,Male,Black,NA,3.6,NA,Independent,0
0,Most of the time,4,80,70,10,100,100,7,7,0,0.25,1,3,2,24,3,Male,White,Democrat,NA,NA,Independent,0
-20,Some of the time,3,81,50,31,60,80,4.5,5.25,-0.75,0.5,3,3,2,22,7,Male,Other,Republican,3.8,-1,Republican,1
16,Some of the time,3,93,52,41,72,56,4.5,4.5,0,0.75,3,3,2,54,1,Male,White,Democrat,2,-1,Democrat,0
14,Some of the time,3,39,50,-11,45,31,3.5,3.75,-0.25,0.5,2,3,2,24,2,Male,White,Democrat,4.6,-1,Democrat,0
29,Some of the time,3,72,46,26,82,53,3.25,4.75,-1.5,0.75,2,3,2,54,6,Female,White,Republican,4,-1,Republican,1
11,Some of the time,3,84,19,65,82,71,4.25,3.25,1,0.75,3,3,2,60,7,Female,White,Republican,4,-1,Republican,1
68,Most of the time,4,66,52,14,93,25,3.75,4.75,-1,0.75,2,3,2,24,2,Female,Black,Democrat,3.6,-1,Democrat,0
-12,Some of the time,3,69,27,42,51,63,3.5,3.5,0,0.75,1,3,2,30,5,Female,Black,Republican,NA,NA,Other,1
33,Some of the time,3,59,10,49,60,27,2.5,4.25,-1.75,0.25,1,2,1,34,3,Female,White,Democrat,3,-1,Independent,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,40,4,Male,White,NA,NA,NA,Other,0
-12,Most of the time,4,28,49,-21,25,37,2.25,4.5,-2.25,0.75,2,2,1,56,6,Female,White,Republican,NA,NA,Republican,1
7,Only now and then,2,68,16,52,93,86,5.25,4.5,0.75,0.75,3,3,2,63,7,Male,White,Republican,4.2,-1,Republican,1
95,Most of the time,4,94,10,84,100,5,7,2,5,0.5,3,3,2,25,7,Male,White,Republican,3.2,1,Republican,1
21,Most of the time,4,100,99,1,100,79,7,6.5,0.5,0.5,3,4,3,32,7,Male,White,Republican,3.4,1,Republican,1
92,Some of the time,3,90,0,90,100,8,3,2,1,0.25,3,3,2,58,1,Female,White,Democrat,4,-1,Democrat,0
23,Most of the time,4,73,30,43,61,38,2.5,2.5,0,0.5,2,3,2,59,6,Female,Asian,Republican,3.4,1,Republican,1
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,27,4,Male,White,NA,4.2,NA,Independent,0
-19,Most of the time,4,23,37,-14,43,62,5.75,4.75,1,0.25,1,3,2,19,3,Female,Black,Democrat,4,-1,Independent,0
1,Most of the time,4,64,2,62,2,1,4.5,3,1.5,1,3,4,3,41,7,Male,White,Republican,4,1,Republican,1
0,Most of the time,4,89,2,87,80,80,5.5,5.5,0,0,3,4,3,62,1,Male,White,Democrat,3.4,1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,28,4,Female,White,NA,4,NA,Other,0
7,Some of the time,3,91,92,-1,91,84,6.25,6.5,-0.25,0.5,3,3,2,NA,1,NA,NA,Democrat,3.6,1,Democrat,0
0,Most of the time,4,31,25,6,100,100,1,1,0,0.75,1,2,1,29,5,Female,White,Republican,NA,NA,Independent,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,35,4,Female,White,NA,3.2,NA,Other,0
40,Most of the time,4,50,1,49,90,50,4.75,3.5,1.25,0.5,3,3,2,54,1,Male,White,Democrat,3,-1,Democrat,0
15,Most of the time,4,39,49,-10,64,49,3.75,4,-0.25,0.75,3,3,2,37,7,Female,Black,Republican,4.2,-1,Republican,1
0,Some of the time,3,77,5,72,97,97,5,4,1,0,3,3,2,33,1,Female,White,Democrat,3.2,1,Democrat,0
47,Some of the time,3,86,35,51,89,42,4.25,2.25,2,0.75,2,2,1,28,2,Female,Native American,Democrat,3.4,1,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,28,4,Male,Black,NA,4,NA,Independent,0
100,Most of the time,4,100,0,100,100,0,3,2.5,0.5,0,3,4,3,33,1,Female,White,Democrat,NA,NA,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,62,4,Male,White,NA,2.4,NA,Independent,0
19,Some of the time,3,62,47,15,69,50,4,4,0,0.5,1,3,2,29,5,Female,White,Republican,3.4,1,Independent,1
-76,Most of the time,4,100,36,64,24,100,5.75,5.75,0,NA,3,4,3,32,7,Male,Other,Republican,3.4,1,Republican,1
20,Some of the time,3,72,56,16,87,67,4.5,3.5,1,1,1,3,2,21,3,Female,White,Democrat,3.6,1,Independent,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,31,7,Male,White,Republican,3.4,-1,Republican,1
94,Only now and then,2,69,15,54,100,6,5,2,3,0.75,2,2,1,26,2,Male,Black,Democrat,NA,NA,Democrat,0
95,Most of the time,4,97,20,77,99,4,4.75,5,-0.25,0.25,3,4,3,24,7,Male,White,Republican,3.8,1,Republican,1
19,Some of the time,3,71,82,-11,93,74,6,5.75,0.25,0.75,2,2,1,34,6,Male,Black,Republican,3.8,1,Republican,1
92,Most of the time,4,100,0,100,100,8,4.25,2.25,2,0,3,4,3,29,1,Female,White,Democrat,4.2,-1,Democrat,0
91,Most of the time,4,91,9,82,100,9,6,4,2,0.25,3,4,3,63,1,Male,White,Democrat,NA,NA,Democrat,0
28,Some of the time,3,70,17,53,88,60,4.25,4.5,-0.25,0.5,3,3,2,31,1,Female,White,Democrat,4,-1,Democrat,0
86,Some of the time,3,97,31,66,91,5,5,2,3,1,3,3,2,63,7,Female,White,Republican,3.6,1,Republican,1
100,Most of the time,4,100,0,100,100,0,4,4,0,1,3,4,3,22,1,Female,White,Democrat,5,-1,Democrat,0
7,Only now and then,2,61,46,15,57,50,4,4,0,0.5,2,2,1,54,6,Female,White,Republican,3.6,-1,Republican,1
70,Only now and then,2,72,10,62,80,10,2.5,2.25,0.25,1,1,2,1,26,3,Female,Black,Democrat,NA,NA,Independent,0
38,Some of the time,3,83,18,65,85,47,5.25,2.5,2.75,1,3,4,3,50,7,Female,White,Republican,NA,NA,Republican,1
11,Some of the time,3,82,14,68,100,89,4.25,4,0.25,0.75,2,3,2,43,2,Female,Asian,Democrat,2.4,1,Democrat,0
46,Some of the time,3,57,4,53,55,9,4,1,3,0.5,2,2,1,63,6,Female,White,Republican,3.2,1,Republican,1
6,Some of the time,3,77,31,46,98,92,6,5.75,0.25,0.75,2,3,2,42,2,Female,White,Democrat,3,1,Democrat,0
37,Hardly at all,1,44,0,44,78,41,4.75,3,1.75,0.25,2,2,1,24,6,Female,White,Republican,NA,NA,Republican,1
30,Some of the time,3,68,38,30,63,33,5,4,1,0.5,2,3,2,39,6,Male,White,Republican,3.6,-1,Republican,1
21,Some of the time,3,43,52,-9,52,31,4.25,4.5,-0.25,0.5,1,3,2,21,3,Female,White,Democrat,3.6,1,Independent,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,26,4,Male,White,NA,3.2,NA,Independent,0
-22,Most of the time,4,61,84,-23,39,61,6.25,5.5,0.75,0.5,3,4,3,27,1,Male,White,Democrat,3.8,1,Democrat,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,60,4,Female,White,NA,2.8,NA,Independent,0
66,Only now and then,2,90,3,87,87,21,4,3.25,0.75,0.75,2,3,2,65,2,Female,White,Democrat,3.8,1,Democrat,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,32,4,Female,White,NA,NA,NA,Independent,0
90,Most of the time,4,76,1,75,97,7,5,3.25,1.75,0.5,2,2,1,39,2,Male,White,Democrat,3.4,1,Democrat,0
23,Most of the time,4,76,42,34,88,65,5.25,5.25,0,0.5,3,4,3,51,1,Male,Black,Democrat,3.8,-1,Democrat,0
67,Most of the time,4,83,12,71,97,30,4.25,3,1.25,0.5,1,3,2,63,3,Male,White,Democrat,2.6,1,Independent,0
19,Some of the time,3,70,10,60,59,40,3.75,3.75,0,0.5,2,2,1,48,2,Male,White,Democrat,NA,NA,Democrat,0
0,Only now and then,2,80,5,75,100,100,4,4,0,0.5,1,4,3,46,3,Female,White,Democrat,4,-1,Other,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,65,4,Male,White,NA,3.6,NA,Independent,0
49,Most of the time,4,100,0,100,98,49,4,1.75,2.25,1,3,4,3,30,7,Female,Asian,Republican,4.6,-1,Republican,1
35,Some of the time,3,56,44,12,94,59,5.75,4.75,1,0.25,2,3,2,26,2,Male,Asian,Democrat,3.8,1,Democrat,0
-2,Most of the time,4,24,75,-51,98,100,7,7,0,0,2,2,1,51,2,Female,White,Democrat,3.4,-1,Democrat,0
44,Some of the time,3,79,7,72,100,56,4.75,4,0.75,0.25,3,3,2,25,1,Female,Other,Democrat,3,1,Democrat,0
3,Some of the time,3,40,40,0,70,67,4,4.25,-0.25,0.75,1,2,1,39,3,Female,White,Democrat,3.8,1,Independent,0
60,Most of the time,4,61,0,61,61,1,3.75,2.5,1.25,0.5,3,3,2,61,7,Male,White,Republican,NA,NA,Republican,1
9,Most of the time,4,52,7,45,81,72,3.25,3.25,0,0.5,2,2,1,60,2,Female,White,Democrat,3.4,-1,Democrat,0
-17,Some of the time,3,57,51,6,48,65,4.5,6.5,-2,0.25,2,3,2,25,2,Female,White,Democrat,3.8,-1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,Male,White,NA,4,NA,Other,0
0,Most of the time,4,86,0,86,100,100,3.25,3.25,0,0.5,2,3,2,NA,2,NA,NA,Democrat,NA,NA,Democrat,0
10,Most of the time,4,90,1,89,90,80,5,4.75,0.25,1,3,4,3,58,7,Male,White,Republican,3.6,-1,Republican,1
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,29,4,Male,White,NA,3.6,NA,Independent,0
86,Most of the time,4,77,20,57,100,14,2,3,-1,0.75,2,3,2,50,6,Female,White,Republican,4,-1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,31,4,Female,White,NA,3.8,NA,Independent,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,Female,White,NA,NA,NA,Independent,0
40,Some of the time,3,90,30,60,100,60,4,4,0,0.25,3,4,3,30,7,Male,White,Republican,3.8,1,Republican,1
-15,Some of the time,3,42,35,7,29,44,3.5,3.25,0.25,0.5,2,3,2,33,6,Male,Other,Republican,4.4,1,Republican,1
0,Some of the time,3,100,2,98,100,100,5.75,5.75,0,1,3,4,3,34,7,Female,White,Republican,3.2,-1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,37,4,Female,White,NA,4,NA,Independent,0
7,Most of the time,4,71,20,51,100,93,4,4,0,0.5,2,3,2,65,2,Female,White,Democrat,4.6,-1,Democrat,0
36,Most of the time,4,49,30,19,63,27,2.5,3,-0.5,0.5,3,3,2,38,7,Male,Asian,Republican,NA,NA,Republican,1
26,Some of the time,3,74,33,41,96,70,4.25,4.25,0,1,2,3,2,61,2,Female,White,Democrat,3.8,-1,Democrat,0
15,Most of the time,4,100,6,94,100,85,4.5,3,1.5,0.25,1,4,3,24,3,Female,White,Democrat,2.4,-1,Independent,0
0,Most of the time,4,100,100,0,100,100,7,7,0,0.5,3,4,3,31,1,Male,White,Democrat,3.4,1,Democrat,0
0,Most of the time,4,81,0,81,100,100,4,2.75,1.25,0,2,3,2,60,2,Female,White,Democrat,NA,NA,Democrat,0
61,Some of the time,3,87,40,47,93,32,4.5,4.25,0.25,0.5,3,3,2,26,7,Male,White,Republican,4.4,1,Republican,1
0,Most of the time,4,76,41,35,100,100,3.25,3.25,0,0.25,2,3,2,43,6,Male,White,Republican,3.8,-1,Republican,1
49,Most of the time,4,78,32,46,100,51,3.25,3.75,-0.5,0.5,2,3,2,28,2,Female,White,Democrat,3.6,-1,Democrat,0
51,Most of the time,4,70,1,69,100,49,5.25,5.25,0,0,1,2,1,41,3,Female,Other,Democrat,3.8,-1,Independent,0
21,Most of the time,4,29,5,24,83,62,4.25,4,0.25,0.5,1,3,2,33,3,Female,White,Democrat,3.8,1,Other,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,28,4,Female,White,NA,4,NA,Other,0
87,Most of the time,4,75,9,66,94,7,5.5,6,-0.5,0.75,2,4,3,65,6,Male,White,Republican,4.2,-1,Republican,1
76,Most of the time,4,61,20,41,82,6,4.5,1,3.5,1,2,3,2,62,2,Male,White,Democrat,4.2,-1,Democrat,0
-13,Some of the time,3,74,73,1,77,90,6,6,0,0.5,1,3,2,32,5,Male,White,Republican,3.2,1,Independent,1
7,Some of the time,3,54,32,22,95,88,2,1.25,0.75,0.5,1,3,2,34,5,Female,White,Republican,3.8,1,Independent,1
41,Some of the time,3,88,28,60,87,46,4.75,5.5,-0.75,0.5,3,3,2,29,7,Male,White,Republican,NA,NA,Republican,1
12,Some of the time,3,80,85,-5,82,70,6.5,6.25,0.25,0.5,2,3,2,27,6,Male,White,Republican,3,-1,Republican,1
28,Most of the time,4,77,50,27,67,39,4.5,4,0.5,0.5,3,4,3,21,7,Male,Black,Republican,4,1,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58,4,Female,White,NA,4,NA,Independent,0
-1,Some of the time,3,20,20,0,35,36,3,3,0,0.75,1,3,2,21,3,Female,Asian,Democrat,4,-1,Other,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,38,4,Female,White,NA,4.4,NA,Independent,0
42,Some of the time,3,41,1,40,51,9,2.5,2.5,0,0.5,3,2,1,55,1,Female,White,Democrat,NA,NA,Democrat,0
7,Most of the time,4,72,84,-12,94,87,4,3.5,0.5,1,3,4,3,27,1,Female,Black,Democrat,3.4,1,Democrat,0
20,Some of the time,3,93,29,64,90,70,4,3,1,0,3,4,3,18,7,Male,White,Republican,NA,NA,Republican,1
0,Some of the time,3,82,45,37,100,100,5.25,4.75,0.5,1,2,3,2,27,6,Female,White,Republican,3.6,-1,Republican,1
0,Most of the time,4,30,29,1,73,73,2.75,2.75,0,0.5,2,3,2,53,2,Female,White,Democrat,3.8,1,Democrat,0
26,Only now and then,2,75,29,46,81,55,5.75,2.25,3.5,0.5,1,3,2,25,5,Female,White,Republican,4,1,Independent,1
89,Some of the time,3,71,4,67,96,7,3.5,2,1.5,0.25,3,3,2,42,7,Female,White,Republican,3.6,1,Republican,1
1,Some of the time,3,81,40,41,98,97,6.25,5.25,1,0.25,2,3,2,65,2,Female,White,Democrat,NA,NA,Democrat,0
-51,Most of the time,4,49,92,-43,40,91,6.25,5.75,0.5,0,3,4,3,27,7,Male,White,Republican,3.4,-1,Republican,1
40,Some of the time,3,50,51,-1,100,60,5,4,1,0,1,2,1,40,3,Female,White,Democrat,3.4,-1,Independent,0
3,Some of the time,3,38,35,3,34,31,3.5,2.75,0.75,0.5,2,3,2,18,6,Female,White,Republican,3.8,-1,Republican,1
-2,Most of the time,4,9,9,0,71,73,4.25,2.75,1.5,1,1,3,2,55,5,Female,White,Republican,NA,NA,Independent,1
-17,Some of the time,3,64,31,33,43,60,2.75,3.25,-0.5,0.25,2,3,2,26,2,Female,White,Democrat,4,-1,Democrat,0
0,Some of the time,3,44,18,26,100,100,2,2,0,0.5,2,3,2,31,6,Female,White,Republican,3.6,1,Republican,1
-7,Some of the time,3,74,81,-7,53,60,3.25,3.25,0,0.75,1,3,2,22,5,Male,White,Republican,3.8,1,Independent,1
38,Most of the time,4,100,1,99,85,47,4,2.75,1.25,0.5,3,4,3,57,1,Female,Black,Democrat,NA,NA,Democrat,0
29,Some of the time,3,90,26,64,100,71,5,4.5,0.5,1,3,3,2,32,7,Female,White,Republican,3.4,-1,Republican,1
14,Most of the time,4,61,64,-3,71,57,4.75,4.25,0.5,0.5,3,3,2,26,7,Male,Other,Republican,4.2,-1,Republican,1
40,Some of the time,3,81,6,75,72,32,3,3.25,-0.25,0.5,2,3,2,61,6,Female,White,Republican,4.4,-1,Republican,1
47,Most of the time,4,99,59,40,97,50,7,3.5,3.5,0.25,3,4,3,30,7,Male,White,Republican,3,1,Republican,1
70,Some of the time,3,68,29,39,87,17,3.75,4,-0.25,0.5,3,4,3,43,7,Female,White,Republican,4,-1,Republican,1
60,Most of the time,4,100,0,100,100,40,4.75,2.75,2,0,3,4,3,30,1,Male,White,Democrat,3.6,-1,Democrat,0
0,Most of the time,4,72,1,71,80,80,6.25,6.25,0,0.5,3,3,2,53,7,Female,White,Republican,4.4,1,Republican,1
38,Most of the time,4,86,25,61,58,20,4.75,2.25,2.5,1,3,3,2,63,1,Male,Black,Democrat,3.2,1,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,41,4,Male,White,NA,NA,NA,Independent,0
11,Most of the time,4,100,47,53,100,89,4.5,5,-0.5,0.75,3,4,3,28,7,Male,White,Republican,3.4,-1,Republican,1
5,Some of the time,3,40,40,0,55,50,5,5,0,0.5,3,2,1,21,7,Male,White,Republican,3.4,1,Republican,1
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,27,4,Male,White,NA,3.4,NA,Independent,0
11,Only now and then,2,34,8,26,40,29,2.75,3,-0.25,0.75,1,2,1,64,3,Female,White,Democrat,3.6,-1,Independent,0
24,Most of the time,4,70,27,43,86,62,5,4,1,0.25,2,3,2,49,2,Female,White,Democrat,3.8,1,Democrat,0
20,Some of the time,3,50,0,50,50,30,2.75,2.75,0,1,1,3,2,54,5,Male,White,Republican,4.4,-1,Independent,1
0,Only now and then,2,52,52,0,80,80,4.25,4,0.25,0.5,2,2,1,65,6,Female,White,Republican,4.2,-1,Republican,1
5,Some of the time,3,25,20,5,55,50,4.75,4,0.75,0.75,2,2,1,25,6,Male,White,Republican,NA,NA,Republican,1
-21,Some of the time,3,49,74,-25,54,75,5,5.25,-0.25,0.25,3,3,2,19,7,Female,Black,Republican,2.8,-1,Republican,1
55,Most of the time,4,100,51,49,100,45,7,6.75,0.25,0,3,4,3,27,7,Male,White,Republican,NA,NA,Republican,1
58,Some of the time,3,95,8,87,81,23,3.75,5.5,-1.75,0.75,3,3,2,28,7,Female,White,Republican,4.2,-1,Republican,1
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,30,4,Female,White,NA,4,NA,Independent,0
80,Some of the time,3,80,0,80,80,0,3.25,1,2.25,0.75,1,3,2,39,3,Female,Black,Democrat,3.2,-1,Independent,0
66,Most of the time,4,95,1,94,93,27,4,3.75,0.25,0.75,3,3,2,41,7,Female,White,Republican,3.8,-1,Republican,1
1,Some of the time,3,86,8,78,89,88,4.5,5.25,-0.75,0.25,2,3,2,45,6,Female,White,Republican,3.4,-1,Republican,1
-10,Some of the time,3,66,40,26,42,52,3.75,5.5,-1.75,0.25,2,3,2,30,6,Female,White,Republican,4,-1,Republican,1
100,Most of the time,4,100,0,100,100,0,4,2.5,1.5,0.75,3,4,3,59,7,Female,White,Republican,4.2,-1,Republican,1
29,Some of the time,3,60,40,20,78,49,4.75,4.5,0.25,0.75,2,3,2,35,2,Female,White,Democrat,3.8,-1,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,19,4,Female,Black,NA,NA,NA,Independent,0
74,Some of the time,3,90,3,87,92,18,3.75,1.5,2.25,1,2,2,1,64,2,Female,White,Democrat,4,-1,Democrat,0
83,Some of the time,3,100,0,100,100,17,7,3,4,1,3,4,3,28,7,Female,White,Republican,3.4,-1,Republican,1
15,Most of the time,4,32,59,-27,87,72,4.25,5.75,-1.5,0.25,3,4,3,33,1,Female,White,Democrat,4,-1,Democrat,0
-22,Most of the time,4,69,100,-31,66,88,6.25,4.25,2,0,3,4,3,18,7,Female,Asian,Republican,3.4,-1,Republican,1
93,Only now and then,2,100,3,97,100,7,1.75,1.75,0,0.5,3,4,3,20,1,Female,Black,Democrat,4.6,1,Democrat,0
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,39,4,Female,White,NA,3.8,NA,Independent,0
0,Most of the time,4,48,2,46,100,100,4.5,4.75,-0.25,0.75,1,2,1,33,5,Female,White,Republican,3.4,-1,Independent,1
27,Some of the time,3,72,40,32,100,73,6.5,2.75,3.75,0.75,3,3,2,26,1,Male,White,Democrat,4.4,1,Democrat,0
41,Some of the time,3,91,21,70,78,37,4.75,5.75,-1,0.5,2,4,3,31,2,Male,Other,Democrat,4.2,-1,Democrat,0
-1,Most of the time,4,72,3,69,99,100,3.75,3.25,0.5,0,2,3,2,65,6,Male,White,Republican,4,1,Republican,1
31,Hardly at all,1,49,23,26,42,11,3.5,4,-0.5,0.25,1,2,1,56,3,Female,White,Democrat,4.2,1,Independent,0
28,Most of the time,4,52,3,49,80,52,4.5,3.75,0.75,0.25,3,2,1,48,1,Male,Other,Democrat,2.8,-1,Democrat,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,42,4,Female,White,NA,3.2,NA,Other,0
0,Most of the time,4,81,1,80,100,100,3.5,2.5,1,1,3,4,3,63,7,Male,White,Republican,NA,NA,Republican,1
17,Some of the time,3,62,40,22,78,61,3.75,3.5,0.25,0.5,2,2,1,65,6,Female,White,Republican,4,-1,Republican,1
9,Some of the time,3,76,40,36,82,73,5,5.25,-0.25,0.5,3,2,1,33,7,Female,White,Republican,3.8,-1,Republican,1
-10,Most of the time,4,79,62,17,86,96,6,5,1,0.25,3,2,1,18,1,Male,Asian,Democrat,2.8,-1,Democrat,0
-16,Most of the time,4,55,46,9,77,93,3.75,4.75,-1,0.75,1,3,2,23,3,Female,Black,Democrat,3.6,-1,Independent,0
96,Most of the time,4,100,NA,NA,100,4,4.5,3.25,1.25,0.75,3,4,3,57,1,Female,Black,Democrat,NA,NA,Democrat,0
0,Some of the time,3,80,11,69,100,100,4.5,4,0.5,NA,3,3,2,54,7,Female,White,Republican,3,1,Republican,1
19,Some of the time,3,100,2,98,100,81,5,6.25,-1.25,0.5,3,4,3,63,1,Male,White,Democrat,NA,NA,Democrat,0
41,Most of the time,4,87,20,67,82,41,4.25,5.5,-1.25,0.5,3,3,2,30,7,Male,White,Republican,2.8,-1,Republican,1
85,Some of the time,3,100,0,100,100,15,2.75,3.75,-1,0.5,3,4,3,30,1,Female,White,Democrat,NA,NA,Democrat,0
-32,Some of the time,3,100,4,96,61,93,6,6,0,0,3,4,3,22,1,Female,White,Democrat,4,1,Democrat,0
10,Hardly at all,1,100,80,20,100,90,7,6.5,0.5,0.25,3,4,3,31,7,Male,White,Republican,3.6,-1,Republican,1
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4,Female,Other,NA,4,NA,Independent,0
2,Some of the time,3,72,30,42,78,76,4.75,4.25,0.5,0.5,1,3,2,20,3,Female,Black,Democrat,3.2,-1,Independent,0
97,Most of the time,4,97,0,97,100,3,5.5,2.75,2.75,0.75,1,3,2,52,3,Female,Black,Democrat,5,-1,Independent,0
0,Most of the time,4,5,1,4,100,100,4,3.25,0.75,NA,2,2,1,54,6,Male,White,Republican,3.2,1,Republican,1
-34,Most of the time,4,3,61,-58,51,85,3.5,5,-1.5,0,2,2,1,61,6,Male,White,Republican,NA,NA,Republican,1
54,Most of the time,4,100,51,49,94,40,6,3.75,2.25,1,3,4,3,27,7,Female,White,Republican,NA,NA,Republican,1
2,Most of the time,4,31,27,4,87,85,5,5.5,-0.5,0.5,1,3,2,50,5,Female,White,Republican,3.2,-1,Independent,1
9,Hardly at all,1,97,90,7,100,91,6,6.25,-0.25,0.5,3,4,3,33,7,Male,White,Republican,3.4,-1,Republican,1
0,Some of the time,3,82,20,62,100,100,4,4,0,1,2,3,2,56,6,Female,White,Republican,3.6,-1,Republican,1
-7,Most of the time,4,98,76,22,87,94,6.25,5.75,0.5,0.5,1,3,2,19,3,Male,Black,Democrat,4,-1,Independent,0
6,Some of the time,3,55,41,14,76,70,4,3.75,0.25,0.75,2,3,2,64,6,Female,White,Republican,3.4,1,Republican,1
51,Most of the time,4,92,0,92,94,43,4,2.75,1.25,0.5,3,3,2,64,1,Male,White,Democrat,NA,NA,Democrat,0
